reference,name,description,documentation-url,organisations,local-plan-boundary,period-start-date,period-end-date,adopted-date,entry-date,start-date,end-date
doncaster-metropolitan-borough-council-local-plan-2015,Doncaster Metropolitan Borough Council Local Plan 2015,,https://www.doncaster.gov.uk/services/planning/local-plan,local-authority:DNC,,2015,2035,2021-09-23,,,
kirklees-council-local-plan-2013,Kirklees Council Local Plan 2013,,https://www.kirklees.gov.uk/beta/planning-policy/local-plan.aspx,local-authority:KIR,,2013,2031,2019-02-27,,,
knowsley-metropolitan-borough-council-local-plan-2006,Knowsley Metropolitan Borough Council Local Plan 2006,,https://www.knowsley.gov.uk/planning-and-development/planning-policy/introduction-local-plan,local-authority:KWL,,2006,2028,2016-01-06,,,
east-cambridgeshire-district-council-local-plan-2013,East Cambridgeshire District Council Local Plan 2013,,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,local-authority:ECA,,2013,2031,2023-10-19,,,
east-devon-district-council-local-plan-2013,East Devon District Council Local Plan 2013,,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,local-authority:EDE,,2013,2031,2016-01-18,,,
east-hampshire-district-council-local-plan-2011,East Hampshire District Council Local Plan 2011,,https://www.easthants.gov.uk/planning-services/planning-policy/local-plan/adopted-local-plan,local-authority:EHA,,2011,2028,2014-05-08,,,
east-hertfordshire-district-council-local-plan-2011,East Hertfordshire District Council Local Plan 2011,,https://www.eastherts.gov.uk/planning-and-building/planning-policy/east-herts-district-plan-2018,local-authority:EHE,,2011,2033,2018-10-23,,,
east-lindsey-district-council-local-plan-2018,East Lindsey District Council Local Plan 2018,,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,local-authority:ELI,,2018,2031,2018-07-18,,,
east-riding-of-yorkshire-council-local-plan-2012,East Riding of Yorkshire Council Local Plan 2012,,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/east-riding-local-plan/,local-authority:ERY,,2012,2029,2016-04-06,,,
east-staffordshire-borough-council-local-plan-2012,East Staffordshire Borough Council Local Plan 2012,,https://www.eaststaffsbc.gov.uk/planning/planning-policy/local-plan-2012-2031,local-authority:EST,,2012,2031,2015-10-15,,,
eastbourne-borough-council-local-plan-2001,Eastbourne Borough Council Local Plan 2001,,https://www.lewes-eastbourne.gov.uk/article/1942/Eastbourne-Local-Plan-2019-2039,local-authority:EAS,,2001,2011,2003-09-01,,,
eastleigh-borough-council-local-plan-2016,Eastleigh Borough Council Local Plan 2016,,https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/local-plan/local-plan-adoption,local-authority:EAT,,2016,2036,2022-04-25,,,
elmbridge-borough-council-local-plan-2011,Elmbridge Borough Council Local Plan 2011,,https://www.elmbridge.gov.uk/planning/new-local-plan/about-local-plans,local-authority:ELM,,2011,2026,2011-07-20,,,
epping-forest-district-council-local-plan-2011,Epping Forest District Council Local Plan 2011,,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,local-authority:EPP,,2011,2033,2023-03-06,,,
essex-county-council-local-plan-2021,Essex County Council Local Plan 2021,,,local-authority:ESS,,2021,2025,,,,
fenland-district-council-local-plan-2011,Fenland District Council Local Plan 2011,,https://www.fenland.gov.uk/developmentplan,local-authority:FEN,,2011,2031,2014-05-08,,,
folkestone-and-hythe-district-council-local-plan-2006,Folkestone and Hythe District Council Local Plan 2006,,https://www.folkestone-hythe.gov.uk/planning-policy/adopted-development-plan,local-authority:SHE,,2006,2026,2020-09-16,,,
fylde-borough-council-local-plan-2011,Fylde Borough Council Local Plan 2011,,https://new.fylde.gov.uk/resident/planning/planning-policy-local-plan/adopted-fylde-local-plan-to-2032-incorporating-partial-review/,local-authority:FYL,,2011,2032,2021-12-06,,,
gateshead-metropolitan-borough-council-local-plan-2010,Gateshead Metropolitan Borough Council Local Plan 2010,,https://www.gateshead.gov.uk/article/3251/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle-2010-2030,local-authority:GAT,,2010,2030,2015-03-26,,,
gedling-borough-council-local-plan-2011,Gedling Borough Council Local Plan 2011,,https://www.gedling.gov.uk/resident/planningandbuildingcontrol/planningpolicy/localplanningdocument/localplanningdocumentprogress/,local-authority:GED,,2011,2028,2014-09-10,,,
gloucester-city-council-local-plan-2011,Gloucester City Council Local Plan 2011,,https://www.gloucester.gov.uk/planning-development/planning-policy/adopted-development-plan/,local-authority:GLO,,2011,2031,2023-01-01,,,
gosport-borough-council-local-plan-2011,Gosport Borough Council Local Plan 2011,,https://www.gosport.gov.uk/article/1226/Gosport-Borough-Local-Plan-2011-2029,local-authority:GOS,,2011,2029,2015-10-14,,,
gravesham-borough-council-local-plan-2011,Gravesham Borough Council Local Plan 2011,,https://www.gravesham.gov.uk/local-plan-policy/local-plan,local-authority:GRA,,2011,2028,2014-09-01,,,
great-yarmouth-borough-council-local-plan-2013,Great Yarmouth Borough Council Local Plan 2013,,https://www.great-yarmouth.gov.uk/article/2489/Current-Local-Plan,local-authority:GRY,,2013,2030,2015-12-21,,,
greater-london-authority-local-plan-2019,Greater London Authority Local Plan 2019,,https://www.london.gov.uk/programmes-strategies/planning/london-plan/new-london-plan/london-plan-2021,local-authority:GLA,,2019,2041,,,,
greater-manchester-combined-authority-local-plan-2022,Greater Manchester Combined Authority Local Plan 2022,,https://www.greatermanchester-ca.gov.uk/what-we-do/planning-and-housing/places-for-everyone,local-authority:GMCA,,2022,2039,2024-03-21,,,
guildford-borough-council-local-plan-2015,Guildford Borough Council Local Plan 2015,,https://www.guildford.gov.uk/guildfordlocalplan,local-authority:GRT,,2015,2034,2024-02-21,,,
salford-city-council-local-plan-2023,Salford City Council Local Plan 2023,,https://www.salford.gov.uk/planning-building-and-regeneration/planning-policies/local-planning-policy/salfords-development-plan/salford-local-plan/part-one-salford-local-plan/salford-local-plan-adoption-2023/,local-authority:SLF,,2023,,2023-01-18,,,
sandwell-metropolitan-borough-council-local-plan-2026,Sandwell Metropolitan Borough Council Local Plan 2026,,https://www.sandwell.gov.uk/planning/sandwell-local-plan,local-authority:SAW,,2026,2041,,,,
sefton-metropolitan-borough-council-local-plan-2015,Sefton Metropolitan Borough Council Local Plan 2015,,https://www.sefton.gov.uk/planning-building-control/planning-policy-including-local-plan-and-neighbourhood-planning/local-plan/,local-authority:SFT,,2015,2030,2017-04-20,,,
sevenoaks-district-council-local-plan-2015,Sevenoaks District Council Local Plan 2015,,,local-authority:SEV,,2015,2035,2011-02-22,,,
shropshire-council-local-plan-2016,Shropshire Council Local Plan 2016,,https://www.shropshire.gov.uk/planning-policy/local-planning/local-plan-review/draft-shropshire-local-plan-2016-2038-examination/examination-library/core-submission-documents/,local-authority:SHR,,2016,2038,,,,
slough-borough-council-local-plan-2006,Slough Borough Council Local Plan 2006,,,local-authority:SLG,,2006,2026,2008-12-16,,,
,,,https://www.somerset.gov.uk/planning-buildings-and-land/somerset-local-plan/,local-authority:SUA,,2020,2040,,,,
south-derbyshire-district-council-local-plan-2011,South Derbyshire District Council Local Plan 2011,,https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/planning-policy/local-plan/adopted-local-plan,local-authority:SDE,,2011,2028,2016-06-13,,,
south-gloucestershire-council-local-plan-2006,South Gloucestershire Council Local Plan 2006,,https://beta.southglos.gov.uk/core-strategy-2006-2027/,local-authority:SGC,,2006,2027,2013-12-11,,,
south-hams-district-council-local-plan-2019,South Hams District Council Local Plan 2019,,https://www.southhams.gov.uk/your-council/council-plans-policies-and-reports/policies/planning-policies/plymouth-and-south-west,local-authority:SHA,,2019,2039,2019-03-26,,,
south-holland-district-council-local-plan-2011,South Holland District Council Local Plan 2011,,https://southeastlincslocalplan.org/article/20102/Adopted-Plan,local-authority:SHO,,2011,2036,2019-03-08,,,
south-kesteven-district-council-local-plan-2011,South Kesteven District Council Local Plan 2011,,https://www.southkesteven.gov.uk/planning-building-control/planning-policy-local-plans/local-plan-review,local-authority:SKE,,2011,2036,,,,
south-ribble-borough-council-local-plan-2015,South Ribble Borough Council Local Plan 2015,,https://southribble.gov.uk/planning-building-control/south-ribble-local-plan-2015,local-authority:SRI,,2015,,2015-07-22,,,
south-staffordshire-council-local-plan-2012,South Staffordshire Council Local Plan 2012,,https://www.sstaffs.gov.uk/planning/planning-policy/local-plan-review,local-authority:SST,,2012,,,,,
south-tyneside-council-local-plan-2023,South Tyneside Council Local Plan 2023,,https://www.southtyneside.gov.uk/article/11433/Key-documents,local-authority:STY,,2023,2040,,,,
spelthorne-borough-council-local-plan-2022,Spelthorne Borough Council Local Plan 2022,,https://www.spelthorne.gov.uk/localplan,local-authority:SPE,,2022,2037,,,,
st-albans-city-and-district-council-local-plan-1994,St Albans City and District Council Local Plan 1994,,https://www.stalbans.gov.uk/current-local-plan,local-authority:SAL,,1994,,,,,
stafford-borough-council-local-plan-2020,Stafford Borough Council Local Plan 2020,,https://www.staffordbc.gov.uk/local-plan,local-authority:STA,,2020,2040,,,,
staffordshire-moorlands-district-council-local-plan-2014,Staffordshire Moorlands District Council Local Plan 2014,,https://www.staffsmoorlands.gov.uk/localplan,local-authority:STF,,2014,2033,2020-09-09,,,
stevenage-borough-council-local-plan-2011,Stevenage Borough Council Local Plan 2011,,https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/stevenage-borough-local-plan,local-authority:STV,,2011,2031,2019-05-22,,,
stratfordonavon-district-council-local-plan-2011,Stratford-on-Avon District Council Local Plan 2011,,https://www.stratford.gov.uk/planning-building/core-strategy.cfm,local-authority:STR,,2011,2031,2016-07-11,,,
sunderland-city-council-local-plan-2024,Sunderland City Council Local Plan 2024,,https://www.sunderland.gov.uk/article/28664/Local-Plan-Evidence,local-authority:SND,,2024,2035,,,,
