reference,name,description,documentation-url,organisation,organisation-name,period-start-date,period-end-date,adoption-date
give a ref,"given the plan a name, e.g. Adur local plan 2024",if there is a short description add here ,,list out the organisation references. Likely to be one. Will be more for joint plans. Separate by ;,,,,if easy to find date adopted add here
adu-lp-2017,Adur District Council Local Plan 2017,,https://www.adur-worthing.gov.uk/adur-local-plan/,ADU,Adur District Council,2017,2032,2017-12-14
amb-lp-2022,Amber Valley Borough Council Local Plan 2022,,https://www.ambervalley.gov.uk/planning/planning-policy/local-plan/,AMB,Amber Valley Borough Council,2022,2040,
aru-lp-2011,Arun District Council Local Plan 2011,,https://www.arun.gov.uk/adopted-local-plan/,ARU,Arun District Council,2011,2031,2018-07-18
ash-lp-2002,Ashfield District Council Local Plan 2002,,https://www.ashfield.gov.uk/planning-building-control/local-plan/current-development-plan/,ASH,Ashfield District Council,2002,,2002-11-22
asf-lp-2019,Ashford Borough Council Local Plan 2019,,https://www.ashford.gov.uk/planning-and-development/planning-policy/adopted-development-plan-documents/adopted-local-plan-to-2030/,ASF,Ashford Borough Council,2019,2030,2019-02-01
bab-lp-2023,Babergh District Council Local Plan 2023,,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,BAB,Babergh District Council,2023,2037,2023-11-20
bai-lp-2011,Basildon Borough Council Local Plan 2011,,https://www.basildon.gov.uk/adoptedplan,BAI,Basildon Borough Council,2011,2029,2016-05-01
wye-lp-2016,Wyre Forest District Council Local Plan 2016,,https://www.wyreforestdc.gov.uk/planning-and-buildings/planning-policy/wyre-forest-district-local-plan-2016-2036/,WYE,Wyre Forest District Council,2016,2036,2022-04-26
wyr-lp-2011,Wyre Borough Council Local Plan 2011,,https://www.wyre.gov.uk/planning-policy/local-plan-partial-review-2011-2031-1/8,WYR,Wyre Borough Council,2011,2031,
wot-lp-2020,Worthing Borough Council Local Plan 2020,,https://www.adur-worthing.gov.uk/worthing-local-plan-2023/,WOT,Worthing Borough Council,2020,2036,2023-03-28
wor-lp-2022,Worcestershire County Council Local Plan 2022,,https://www.worcestershire.gov.uk/council-services/planning-and-developments/planning-policy-and-strategy/local-development-scheme,WOR,Worcestershire County Council,2022,2025,2022-07-01
woc-lp-2023,Worcester City Council Local Plan 2023,,https://www.worcester.gov.uk/planning/planning-policy/local-development-framework,WOC,Worcester City Council,2023,2026,2023-09-26
wok-lp-2010,Wokingham Borough Council Local Plan 2010,,https://www.wokingham.gov.uk/planning-policy/adopted-development-plan/local-plans,WOK,Wokingham Borough Council,2010,2026,2010-01-29
woi-lp-2012,Woking Borough Council Local Plan 2012,,https://www.woking2027.info/developmentplan,WOI,Woking Borough Council,2012,2027,2012-10-25
utt-lp-2021,Uttlesford District Council Local Plan 2021,,https://www.uttlesford.gov.uk/reg-19-consultation,UTT,Uttlesford District Council,2021,2041,
bae-lp-2020,Bassetlaw District Council Local Plan 2020,,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,BAE,Bassetlaw District Council,2020,2038,2024-05-29
