rowid,end_date,entry_date,cohort,cohort_label,notes,organisation,organisation_label,role,role_label,start_date
4,,,,,,development-corporation:Q117149370,Middlesbrough Development Corporation,local-planning-authority,Local Planning Authority,2023-02-27
5,,,,,,development-corporation:Q124604981,Hartlepool Development Corporation,local-planning-authority,Local Planning Authority,2023-02-27
6,,,,,,development-corporation:Q20648596,Old Oak and Park Royal Development Corporation,local-planning-authority,Local Planning Authority,2015-04-01
18,,,,,,development-corporation:Q72463795,Ebbsfleet Development Corporation,local-planning-authority,Local Planning Authority,2015-04-20
24,,,,,,local-authority:ADU,Adur District Council,local-planning-authority,Local Planning Authority,
26,,,,,,local-authority:AMB,Amber Valley Borough Council,local-planning-authority,Local Planning Authority,
27,,,,,,local-authority:ARU,Arun District Council,local-planning-authority,Local Planning Authority,
28,,,,,,local-authority:ASF,Ashford Borough Council,local-planning-authority,Local Planning Authority,
29,,,,,,local-authority:ASH,Ashfield District Council,local-planning-authority,Local Planning Authority,
31,,,,,,local-authority:BAB,Babergh District Council,local-planning-authority,Local Planning Authority,
32,,,,,,local-authority:BAE,Bassetlaw District Council,local-planning-authority,Local Planning Authority,
33,,,,,,local-authority:BAI,Basildon Borough Council,local-planning-authority,Local Planning Authority,
34,,,,,,local-authority:BAN,Basingstoke and Deane Borough Council,local-planning-authority,Local Planning Authority,
36,,,,,,local-authority:BAS,Bath and North East Somerset Council,local-planning-authority,Local Planning Authority,1996-04-01
37,,,,,,local-authority:BBD,Blackburn with Darwen Borough Council,local-planning-authority,Local Planning Authority,1998-04-01
38,,,,,,local-authority:BDF,Bedford Borough Council,local-planning-authority,Local Planning Authority,2009-04-01
39,,,,,,local-authority:BDG,London Borough of Barking and Dagenham,local-planning-authority,Local Planning Authority,
40,,,,,,local-authority:BEN,London Borough of Brent,local-planning-authority,Local Planning Authority,
41,,,,,,local-authority:BEX,London Borough of Bexley,local-planning-authority,Local Planning Authority,
42,,,,,,local-authority:BIR,Birmingham City Council,local-planning-authority,Local Planning Authority,1986-07-01
43,,,,,,local-authority:BLA,Blaby District Council,local-planning-authority,Local Planning Authority,
45,,,,,,local-authority:BNE,London Borough of Barnet,local-planning-authority,Local Planning Authority,
46,,,,,,local-authority:BNH,Brighton and Hove City Council,local-planning-authority,Local Planning Authority,1905-06-19
47,,,,,,local-authority:BNS,Barnsley Metropolitan Borough Council,local-planning-authority,Local Planning Authority,1974-04-01
48,,,,,,local-authority:BOL,Bolton Metropolitan Borough Council,local-planning-authority,Local Planning Authority,1974-04-01
49,,,,,,local-authority:BOS,Bolsover District Council,local-planning-authority,Local Planning Authority,
50,,,,,,local-authority:BOT,Boston Borough Council,local-planning-authority,Local Planning Authority,
51,,,,,,local-authority:BPC,"Bournemouth, Christchurch and Poole Council",local-planning-authority,Local Planning Authority,2019-04-01
52,,,,,,local-authority:BPL,Blackpool Borough Council,local-planning-authority,Local Planning Authority,1905-06-20
53,,,,,,local-authority:BRA,Braintree District Council,local-planning-authority,Local Planning Authority,
54,,,,,,local-authority:BRC,Bracknell Forest Council,local-planning-authority,Local Planning Authority,1998-04-01
55,,,,,,local-authority:BRD,City of Bradford Metropolitan District Council,local-planning-authority,Local Planning Authority,1974-04-01
56,,,,,,local-authority:BRE,Breckland District Council,local-planning-authority,Local Planning Authority,
57,,,,,,local-authority:BRM,Bromsgrove District Council,local-planning-authority,Local Planning Authority,
58,,,,,,local-authority:BRO,Broadland District Council,local-planning-authority,Local Planning Authority,
59,,,,,,local-authority:BRT,Broxtowe Borough Council,local-planning-authority,Local Planning Authority,
60,,,,,,local-authority:BRW,Brentwood Borough Council,local-planning-authority,Local Planning Authority,
61,,,,,,local-authority:BRX,Broxbourne Borough Council,local-planning-authority,Local Planning Authority,
62,,,,,,local-authority:BRY,London Borough of Bromley,local-planning-authority,Local Planning Authority,
63,,,,,,local-authority:BST,Bristol City Council,local-planning-authority,Local Planning Authority,1905-06-18
64,,,,,,local-authority:BUC,Buckinghamshire Council,local-planning-authority,Local Planning Authority,2020-04-01
65,,,,,,local-authority:BUN,Burnley Borough Council,local-planning-authority,Local Planning Authority,
66,,,,,,local-authority:BUR,Bury Metropolitan Borough Council,local-planning-authority,Local Planning Authority,1974-04-01
67,,,,,,local-authority:CAB,Cambridge City Council,local-planning-authority,Local Planning Authority,
68,,,,,,local-authority:CAN,Cannock Chase District Council,local-planning-authority,Local Planning Authority,
70,,,,,,local-authority:CAS,Castle Point Borough Council,local-planning-authority,Local Planning Authority,
71,,,,,,local-authority:CAT,Canterbury City Council,local-planning-authority,Local Planning Authority,
72,,,,,,local-authority:CBF,Central Bedfordshire Council,local-planning-authority,Local Planning Authority,2009-04-01
73,,,,,,local-authority:CHA,Charnwood Borough Council,local-planning-authority,Local Planning Authority,
75,,,,,,local-authority:CHE,Cheshire East Council,local-planning-authority,Local Planning Authority,2009-04-01
76,,,,,,local-authority:CHI,Chichester District Council,local-planning-authority,Local Planning Authority,1974-04-01
77,,,,,,local-authority:CHL,Chelmsford City Council,local-planning-authority,Local Planning Authority,
79,,,,,,local-authority:CHO,Chorley Borough Council,local-planning-authority,Local Planning Authority,
80,,,,,,local-authority:CHR,Cherwell District Council,local-planning-authority,Local Planning Authority,
81,,,,,,local-authority:CHS,Chesterfield Borough Council,local-planning-authority,Local Planning Authority,
82,,,,,,local-authority:CHT,Cheltenham Borough Council,local-planning-authority,Local Planning Authority,
83,,,,,,local-authority:CHW,Cheshire West and Chester Council,local-planning-authority,Local Planning Authority,2009-04-01
84,,,,,,local-authority:CLD,Calderdale Metropolitan Borough Council,local-planning-authority,Local Planning Authority,1974-04-01
85,,,,,,local-authority:CMD,London Borough of Camden,local-planning-authority,Local Planning Authority,
86,,,,,,local-authority:COL,Colchester City Council,local-planning-authority,Local Planning Authority,
87,,,,,,local-authority:CON,Cornwall Council,local-planning-authority,Local Planning Authority,2009-04-01
90,,,,,,local-authority:COT,Cotswold District Council,local-planning-authority,Local Planning Authority,
91,,,,,,local-authority:COV,Coventry City Council,local-planning-authority,Local Planning Authority,1974-04-01
93,,,,,,local-authority:CRW,Crawley Borough Council,local-planning-authority,Local Planning Authority,1974-04-01
94,,,,,,local-authority:CRY,London Borough of Croydon,local-planning-authority,Local Planning Authority,1965-04-01
95,,,,,,local-authority:CUA,Cumberland Unitary Authority,local-planning-authority,Local Planning Authority,2023-04-01
