entry-date,start-date,end-date,reference,name,organisations,local-plan,document-url,documentation-url,notes,description,document-types
2024-10-02,,,adur-district-council-local-plan-2017-10,Adur Local Plan 2017 - Adoption Statement,local-authority:ADU,adur-district-council-local-plan-2017,"https://www.adur-worthing.gov.uk/media/Media,147019,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,,,adoption-statement;local-plan
2024-10-02,,,arun-district-council-local-plan-2011-1,Adopted Local Plan,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12844.pdf&ver=12984,https://www.arun.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,arun-district-council-local-plan-2011-2,Local Plan Policy Map (District Wide) - Update 2018 V23,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12918.pdf&ver=13058,https://www.arun.gov.uk/adopted-local-plan/,,,policies-map
2024-10-02,,,arun-district-council-local-plan-2011-3,"Policy map: Arundel, the Six Villages & surrounding area",local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12919.pdf&ver=13059,https://www.arun.gov.uk/adopted-local-plan/,,,policies-map
2024-10-02,,,arun-district-council-local-plan-2011-32,Adoption Statement,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12541.pdf&ver=12559,https://www.arun.gov.uk/adopted-local-plan/,,,adoption-statement
2024-10-02,,,arun-district-council-local-plan-2011-33,Inspector's Report (dated 4'July 2018) into the examination of the Arun Local Plan 2011-2031,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12488.pdf&ver=12506,https://www.arun.gov.uk/adopted-local-plan/,,,inspectors-report
2024-10-02,,,arun-district-council-local-plan-2011-34,Inspector's Report Appendix Final Schedule of Main Modifications,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12489.pdf&ver=12507,https://www.arun.gov.uk/adopted-local-plan/,,,inspectors-report
2024-10-02,,,arun-district-council-local-plan-2011-4,Policy Map 3 (West) - Update September 2018 V1,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12920.pdf&ver=13060,https://www.arun.gov.uk/adopted-local-plan/,,,policies-map
2024-10-02,,,arun-district-council-local-plan-2011-5,Policy Map 4 (East) - Update September 2018 V1,local-authority:ARU,arun-district-council-local-plan-2011,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12921.pdf&ver=13061,https://www.arun.gov.uk/adopted-local-plan/,,,policies-map
2024-10-02,,,ashford-borough-council-local-plan-2019-11,Local Plan Policies Map,local-authority:ASF,ashford-borough-council-local-plan-2019,https://www.ashford.gov.uk/planning-and-development/planning-policy/adopted-development-plan-documents/adopted-local-plan-to-2030/local-plan-policies-map/,https://www.ashford.gov.uk/planning-and-development/planning-policy/adopted-development-plan-documents/adopted-local-plan-to-2030/,,,policies-map
2024-10-02,,,babergh-district-council-local-plan-2023-1,Inspectors report,local-authority:BAB,babergh-district-council-local-plan-2023,https://www.babergh.gov.uk/documents/d/asset-library-54706/k01-bmsdc-jlp-final-report-and-schedule,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,,,inspectors-report
2024-10-02,,,babergh-district-council-local-plan-2023-2,Joint Local Plan - Part 1,local-authority:BAB,babergh-district-council-local-plan-2023,https://www.babergh.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-plan-part-1-nov-2023,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,,,local-plan
2024-10-02,,,babergh-district-council-local-plan-2023-3,Adoption Statement,local-authority:BAB,babergh-district-council-local-plan-2023,https://www.babergh.gov.uk/documents/d/asset-library-54706/mid-suffolk-district-council-jlp-part-1-adoption-statement,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,,,adoption-statement
2024-10-02,,,babergh-district-council-local-plan-2023-5,Supplementary Policy Map Insets,local-authority:BAB,babergh-district-council-local-plan-2023,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/jlp-settlement-maps-master-doc-part-1-sep-24,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,,,policies-map
2024-10-02,,,babergh-district-council-local-plan-2023-6,Local Development Scheme,local-authority:BAB,babergh-district-council-local-plan-2023,https://www.babergh.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-development-scheme-2023-2026,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,,,local-development-scheme
2024-11-25,,,barnsley-local-plan-2019,Barnsley Local Plan 2019,local-authority:BNS,barnsley-metropolitan-borough-council-local-plan-2019,https://www.barnsley.gov.uk/media/17249/local-plan-adopted.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,,,local-plan
2024-10-02,,,basildon-borough-council-local-plan-2011-1,Basildon District Local Plan Saved Policies,local-authority:BAI,basildon-borough-council-local-plan-2011,https://www.basildon.gov.uk/media/598/Basildon-District-Local-Plan-Saved-Policies-September-2007/pdf/Basildon_District_Local_Plan_Saved_Policies_-_September_2007.pdf?m=1540381932580,https://www.basildon.gov.uk/adoptedplan,,,local-plan
2024-10-02,,,basingstoke-and-deane-borough-council-local-plan-2011-1,Adopted Local Plan (2011 to 2029),local-authority:BAN,basingstoke-and-deane-borough-council-local-plan-2011,https://www.basingstoke.gov.uk/content/doclib/1592.pdf,https://www.basingstoke.gov.uk/planningpolicy,,,local-plan
2024-10-02,,,basingstoke-and-deane-borough-council-local-plan-2011-4,Adoption Statement,local-authority:BAN,basingstoke-and-deane-borough-council-local-plan-2011,https://www.basingstoke.gov.uk/content/page/44903/Local%20Plan%20Adoption%20Statement.pdf,https://www.basingstoke.gov.uk/planningpolicy,,,adoption-statement
2024-10-02,,,basingstoke-and-deane-borough-council-local-plan-2011-5,SEA Adoption Statement,local-authority:BAN,basingstoke-and-deane-borough-council-local-plan-2011,https://www.basingstoke.gov.uk/content/page/44905/SEA%20Adoption%20Statement.pdf,https://www.basingstoke.gov.uk/planningpolicy,,,adoption-statement;sustainability-appraisal
2024-10-02,,,bassetlaw-district-council-local-plan-2020-1,Bassetlaw Local Plan,local-authority:BAE,bassetlaw-district-council-local-plan-2020,https://www.bassetlaw.gov.uk/media/gn1kjm1b/adopted-bassetlaw-local-plan-2020-2038.pdf,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,,,local-plan
2024-10-02,,,bassetlaw-district-council-local-plan-2020-2,Sustainability Appraisal Adoption Statement,local-authority:BAE,bassetlaw-district-council-local-plan-2020,https://www.bassetlaw.gov.uk/media/bbupnmig/appendix-4-bassetlaw-sa-adoption-statement.pdf,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,,,adoption-statement;sustainability-appraisal
2024-10-02,,,bedford-borough-council-local-plan-2018-1,Local Plan 2030,local-authority:BDF,bedford-borough-council-local-plan-2018,https://www.bedford.gov.uk/files/local-plan-2030.pdf/download?inline,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,,,local-plan
2024-10-02,,,bedford-borough-council-local-plan-2018-2,Policies map,local-authority:BDF,bedford-borough-council-local-plan-2018,https://www.bedford.gov.uk/planning-and-building/planning-policy-its-purpose/development-plan-documents/policies-map/,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,,,policies-map
2024-10-02,,,bedford-borough-council-local-plan-2018-21,Inspectors Report,local-authority:BDF,bedford-borough-council-local-plan-2018,https://www.bedford.gov.uk/files/appendix-bedford-local-plan-2030-report-final.pdf/download?inline,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,,,inspectors-report
2024-10-02,,,bedford-borough-council-local-plan-2018-29,Sustainability Appraisal,local-authority:BDF,bedford-borough-council-local-plan-2018,https://edrms.bedford.gov.uk/OpenDocument.aspx?id=w%2f1uW7yleu4KmJhsKmHidQ%3d%3d&name=25a%20-%20Sustainability%20Appraisal%20Report%20September%202018.pdf,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,,,sustainability-appraisal
2024-10-02,,,bedford-borough-council-local-plan-2018-4,Adoption statement,local-authority:BDF,bedford-borough-council-local-plan-2018,https://edrms.bedford.gov.uk/OpenDocument.aspx?id=OzzaOHXt2Z0vLLb9jmvZ8A%3d%3d&name=Local%20Plan%20Adoption%20Statement.pdf,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,,,adoption-statement
2024-11-25,,,birmingham-plan-2031,Birmingham Plan 2031,local-authority:BIR,the-birmingham-plan-bdp-update,https://www.birmingham.gov.uk/downloads/file/5433/adopted_birmingham_development_plan_2031,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,,,local-plan
2024-10-02,,,calderdale-metropolitan-borough-council-local-plan-2018-1,Calderdale Local Plan 2018/19 to 2032/33 Written Statement,local-authority:CLD,calderdale-metropolitan-borough-council-local-plan-2018,https://new.calderdale.gov.uk/sites/default/files/2023-12/Local-Plan-Written-Statement.pdf,https://new.calderdale.gov.uk/planning-and-building-control/planning-policy/local-plan,,,local-plan
2024-10-02,,,calderdale-metropolitan-borough-council-local-plan-2018-2,Appendix 1 - Site Allocations,local-authority:CLD,calderdale-metropolitan-borough-council-local-plan-2018,https://calderdale.gov.uk/docs/local-plan/Local-Plan-Appendix-1.pdf,https://new.calderdale.gov.uk/planning-and-building-control/planning-policy/local-plan,,,local-plan
2024-10-02,,,cambridge-city-council-local-plan-2018-1,Cambridge Local Plan,local-authority:CAB,cambridge-city-council-local-plan-2018,https://www.cambridge.gov.uk/media/6890/local-plan-2018.pdf,https://www.cambridge.gov.uk/local-plan-2018,,Adopted local plan for Cambridge city,local-plan
2024-10-02,,,cambridge-city-council-local-plan-2018-10,Adopted Policies Map (October 2018),local-authority:CAB,cambridge-city-council-local-plan-2018,https://www.cambridge.gov.uk/media/6892/development-plan-adopted-policies-map.pdf,https://www.cambridge.gov.uk/local-plan-2018,,,policies-map
2024-10-02,,,cambridge-city-council-local-plan-2018-11,Inspectors Report and Schedule of Main Modifications,local-authority:CAB,cambridge-city-council-local-plan-2018,https://www.cambridge.gov.uk/media/6789/local-plan-2018-inspectors-examination-report.pdf,https://www.cambridge.gov.uk/local-plan-2018,,,inspectors-report
2024-10-02,,,cambridge-city-council-local-plan-2018-3,Adoption statement,local-authority:CAB,cambridge-city-council-local-plan-2018,https://www.cambridge.gov.uk/media/6791/local-plan-2018-adoption-statement.pdf,https://www.cambridge.gov.uk/local-plan-2018,,,adoption-statement
2024-10-02,,,cannock-chase-district-council-local-plan-2006-10,Inspectors report,local-authority:CAN,cannock-chase-district-council-local-plan-2006,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/cannock_chase_lp_final_report.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,,,inspectors-report
2024-10-02,,,cannock-chase-district-council-local-plan-2006-3,Cannock Chase Local Plan - Local Plan (Part 1) 2014,local-authority:CAN,cannock-chase-district-council-local-plan-2006,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/local_plan_part_1_09.04.14_low_res.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,,Adopted local plan for Cannock Chase,local-plan
2024-10-02,,,cannock-chase-district-council-local-plan-2006-4,Adoption Statement,local-authority:CAN,cannock-chase-district-council-local-plan-2006,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/local_plan_p1_adoption_statement_09.04.14.doc,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,,,adoption-statement
2024-11-25,,,cannock-chase-district-local-plan-pre-submission-regulation-19,Cannock Chase District Local Plan Pre-Submission (Regulation 19),local-authority:CAN,cannock-chase-district-local-plan,https://www.cannockchasedc.gov.uk/sites/default/files/document-library/Cannock%20Chase%20Local%20Plan%20Pre%20Submission%20Reg%2019.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,,,local-plan
2024-11-25,,,canterbury-district-local-plan,Canterbury District Local Plan,local-authority:CAT,canterbury-district-local-plan,https://www.canterbury.gov.uk/sites/default/files/2022-10/Adopted%20Local%20Plan.pdf,https://www.canterbury.gov.uk/planning-and-building/planning-policies/adopted-local-plan,,Adopted local plan for Canterbury,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-1,Saved policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1267.pdf&ver=1498,https://www.castlepoint.gov.uk/adopted-local-plan/,,List of saved policies which remain in force after 28th September 2007,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-10,Recreation Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1262.pdf&ver=1493,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-11,Community Facilities,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1257.pdf&ver=1488,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-12,Appendices,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1256.pdf&ver=1487,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-14,Proposals Map and Key,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1269.pdf&ver=1500,https://www.castlepoint.gov.uk/adopted-local-plan/,,,policies-map
2024-10-02,,,castle-point-borough-council-local-plan-1998-15,Proposals Map Town Centre Inserts,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1268.pdf&ver=1499,https://www.castlepoint.gov.uk/adopted-local-plan/,,,policies-map
2024-10-02,,,castle-point-borough-council-local-plan-1998-3,Introduction to the Plan,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1261.pdf&ver=1492,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-4,Green Belt Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1264.pdf&ver=1495,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-5,Environment and Conservation Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1259.pdf&ver=1490,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-6,Housing and Population Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1260.pdf&ver=1491,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-7,Economic Development Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1258.pdf&ver=1489,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-8,Shopping Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1265.pdf&ver=1496,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-10-02,,,castle-point-borough-council-local-plan-1998-9,Transport Policies,local-authority:CAS,castle-point-borough-council-local-plan-1998,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1266.pdf&ver=1497,https://www.castlepoint.gov.uk/adopted-local-plan/,,,local-plan
2024-11-25,,,central-bedfordshire-council-local-development-scheme,Central Bedfordshire Council Local Development Scheme,local-authority:CBF,central-bedfordshire-local-plan-2035,https://centralbedfordshirecouncil.sharepoint.com/sites/Communications/Website%20and%20intranet/Forms/AllItems.aspx?id=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FPlanning%20Policy%2FLocal%20development%20scheme%2FFinal%20Local%20Development%20Scheme%20LDS%20November%202023%2Epdf&parent=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FPlanning%20Policy%2FLocal%20development%20scheme&p=true&ga=1,https://www.centralbedfordshire.gov.uk/info/45/planning_policy/1168/local_development_scheme_lds,,,local-development-scheme
2024-11-25,,,central-bedfordshire-local-plan-2015-2035,Central Bedfordshire Local Plan: 2015-2035,local-authority:CBF,central-bedfordshire-council-local-plan-2015,https://centralbedfordshirecouncil.sharepoint.com/sites/Communications/Website%20and%20intranet/Forms/AllItems.aspx?id=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FLocal%20Plan%2FLocal%20Plan%20Documents%2F15%5F%20Adoption%20documents%2F2%5F%20Central%20Bedfordshire%20Local%20Plan%202015%20%E2%80%93%202035%2FCentral%20Bedfordshire%20Local%20Plan%202015%20%E2%80%93%202035%2Epdf&parent=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FLocal%20Plan%2FLocal%20Plan%20Documents%2F15%5F%20Adoption%20documents%2F2%5F%20Central%20Bedfordshire%20Local%20Plan%202015%20%E2%80%93%202035&p=true&ga=1,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,,,local-plan
2024-11-25,,,core-strategy-and-development-plan-2015-2033,Core Strategy and Development Plan 2015 - 2033,local-authority:SND,sunderland-city-council-local-plan-2024,https://www.sunderland.gov.uk/media/22171/Core-Strategy-and-Development-Plan-2015-2033/pdf/CSDP_2015-2033.pdf?m=1580375786447,https://www.sunderland.gov.uk/CSDP,,,core-strategy
2024-11-25,,,dacorum-core-strategy-adoption-statement,Dacorum Core Strategy Adoption Statement,local-authority:DAC,core-strategy-2006-2031,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adoption-notice-(pdf).pdf?sfvrsn=74e4f39f_0,,,Statement giving notice that Dacorum Borough Council formally adopted its Core Strategy on 25 September 2013. ,adoption-statement
2024-10-02,,,darlington-borough-council-local-plan-2016-10,Appendix N-T - Lease comps details,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21232/cd08-appendix-n-t.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,viability-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-11,Addendum to CD08 Local Plan viability assessment,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21233/cd08-addendum-to-cd08-local-plan-viability-assessment-metric.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,viability-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-12,PD01 Consultation Statement,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21234/pd01-consultation-statement.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-13,PD03 Darlington Local Plan Equality Impact Assessment 2020,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21235/pd03-darlington-local-plan-equality-impact-assessment-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-2,Darlington Local Plan 2016 - 2036,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/16694/local-plan-adopted-feb22v2.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,local-plan
2024-10-02,,,darlington-borough-council-local-plan-2016-24,SD03 Flood Risk Sequential and Exceptions test 2020,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21236/sd03-flood-risk-sequential-and-exception-tests-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,strategic-flood-risk-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-25,SD08 Darlington Strategic Housing market assessment 2020,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21237/sd08-darlington-strategic-housing-market-assessment-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,strategic-housing-market-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-26,SD09 Darlington Strategic Housing market assessment 2017,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21238/sd09-shma-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,strategic-housing-market-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-27,SD10 HELAA 2017 - Part 1,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21502/sd10-helaa-2017_part1.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-28,SD10 HELAA 2017 - Part 2,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21503/sd10-helaa-2017_part2.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-29,SD10 HELAA 2017 - Part 3,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21504/sd10-helaa-2017_part3.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-3,Darlington Policies Map,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/18086/adopted-darlington-local-plan-feb22-r.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,policies-map
2024-10-02,,,darlington-borough-council-local-plan-2016-30,SD10 HELAA 2017 - Part 4,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21505/sd10-helaa-2017_part4.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-31,SD10 HELAA 2017 - Part 5,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21506/sd10-helaa-2017_part5.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
