entry-date,start-date,end-date,reference,name,organisations,local-plan,document-url,documentation-url,notes,description,document-types
2024-11-25,,,adopted-dacorum-core-strategy-2006-2031,Adopted Dacorum Core Strategy 2006 - 2031,local-authority:DAC,core-strategy-2006-2031,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adopted-core-strategy-2013.pdf?sfvrsn=2,,,,core-strategy
2024-11-25,,,adopted-derbyshire-dales-local-plan-2013-2033,Adopted Derbyshire Dales Local Plan 2013 - 2033,local-authority:DEB,derbyshire-dales-local-plan,https://www.derbyshiredales.gov.uk/documents/dddc-adopted-local-plan-2017-2/download,,,,local-plan
2024-11-25,,,adoption-statement,Adoption Statement,local-authority:CBF,central-bedfordshire-council-local-plan-2015,https://centralbedfordshirecouncil.sharepoint.com/sites/Communications/Website%20and%20intranet/Forms/AllItems.aspx?ga=1&id=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FLocal%20Plan%2FLocal%20Plan%20Documents%2F15%5F%20Adoption%20documents%2F1%5F%20Local%20Plan%20Adoption%20Statement%2FCentral%20Bedfordshire%20Council%20Local%20Plan%20Adoption%20Statement%2Epdf&parent=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FLocal%20Plan%2FLocal%20Plan%20Documents%2F15%5F%20Adoption%20documents%2F1%5F%20Local%20Plan%20Adoption%20Statement,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,,,adoption-statement
2024-11-25,,,adoption-statement,Adoption Statement,local-authority:BIR,the-birmingham-plan-bdp-update,https://www.birmingham.gov.uk/downloads/file/5431/final_adoption_statement,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,,,adoption-statement
2024-11-25,,,adoption-statement,Adoption statement,local-authority:OLD,oldham-metropolitan-borough-council-local-plan-2011,https://www.oldham.gov.uk/download/downloads/id/1444/adoption_statement.doc,https://www.oldham.gov.uk/downloads/file/1444/adoption_statement,,,adoption-statement
2024-11-25,,,adoption-statement,Adoption Statement,local-authority:BNS,barnsley-metropolitan-borough-council-local-plan-2019,https://www.barnsley.gov.uk/media/17019/adoption-statement-jan-19.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,,,adoption-statement
2024-11-25,,,adoption-statement,Adoption Statement ,local-authority:DER,derby-city-local-plan-part-1-core-strategy,https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/planning/localplan/part1/DCC_Adoption_Statement_V2.pdf,,,"Adoption Statement giving notice that the Derby City Local Plan - Part 1 Core Strategy was formally adopted by Derby City Council on 25 
January 2017.
",adoption-statement
2024-11-25,,,adoption-statement-barnsley-metropolitan-borough-council-local-plan-2019,Adoption Statement,local-authority:BNS,barnsley-metropolitan-borough-council-local-plan-2019,https://www.barnsley.gov.uk/media/17019/adoption-statement-jan-19.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,,,adoption-statement
2024-11-25,,,adoption-statement-local-plan-update-2023-pdf-0-1mb,"Adoption Statement: Local Plan update 2023 (PDF, 0.1MB) ",local-authority:ECA,east-cambridgeshire-local-plan-single-issue-review,https://www.eastcambs.gov.uk/sites/default/files/Adoption%20statement%20Local%20Plan%202023%20Update%20-%20final.pdf,,,,adoption-statement
2024-10-02,,,adur-district-council-local-plan-2017-1,Adur Local Plan 2017 (adopted) - Complete document,local-authority:ADU,adur-district-council-local-plan-2017,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,,,local-plan
